Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,NPU (Neural Processing Unit),AI (Artificial Intelligence),display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,touch display,display resolution,cam resolution,multimedia features,special features,fingerprint,battery type,width,height/length,depth,weight,card reader,Shipping Weight (kg),Renewed Grade,Renewed Remarks
Huawei MateBook D 15 Laptop,"3,049",24,12 Months,Manufacturer,608553,BODEWDH9AL,Intel Core i5-1155G7 (11th Gen),,,FHD-LED Display,Intel Iris Xe Graphics,"15.6""",Windows 11,Laptop,,Huawei MateBook,2022,Mystic Silver,64 bit,2.5 GHz,512 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (WUXGA),720P HD Recessed Camera,2W x 2 Speakers,"Low Blue Light, Flicker Free",Yes,Lithium Polymer (Li-Po) - 3 Cell,35.70 cm ( 14.06 in ),22.90 cm ( 9.02 in ),1.69 cm ( .67 in ),1.56 kg ( 3.44 lb ),,,,
Renewed Grade A Apple MacBook Pro 14 M3 Retina XDR Laptop,"6,799",6,Not Applicable,JARIR,644978,MR7K3ABARA,M3 8-core CPU,,,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Silver,,,1 TB SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,,Yes,Lithium Polymer (Li-Po),,,,1.55 kg ( 3.42 lb ),Yes,,Renewed Grade A,626893
HP Pavilion Laptop,"4,299",24,12 Months,Manufacturer,618688,8F1R6EAA2N,Intel Core i7-1360P (13th Gen),,,FHD IPS GL 250N,Intel Iris Xe Graphics,"15.6""",Windows 11,Laptop,15-eg3003nx,HP Pavilion,2023,Natural Silver,64 bit,P-core: 2.2 - 5.0 GHz/E-core: 1.6 - 3.7 GHz,1 TB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.1/USB-C/Audio Combo Port,,1920 X 1080 (FHD),Wide Vision HD Webcam,"Bang & Olufsen Dual Speakers, HP Audio Boost",,,Lithium Ion (Li-Ion) - 3 Cell,36.00 cm ( 14.17 in ),23.40 cm ( 9.21 in ),1.70 cm ( .67 in ),1.70 kg ( 3.75 lb ),,,,
MSI Modern 14 Laptop,"2,799",24,12 Months,Agent,645329,9S714S121212,Intel Core i7-1355U (13th Gen),,,FHD IPS 60 Hz Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,F13MG,MSI Modern,2024,Platinum Grey,64 bit,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,,1920 X 1080 (FHD),HD Webcam,Built-in Speakers/Mic,,Yes,Lithium Ion (Li-Ion) - 3 Cell,32.39 cm ( 12.75 in ),21.72 cm ( 8.55 in ),1.99 cm ( .78 in ),1.50 kg ( 3.31 lb ),Yes,,,
Apple MacBook Pro 14 M3 Retina XDR Laptop,"6,899",24,12 Months,Manufacturer,626812,MTL73ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Grey,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),,,,1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Pro 16 M3 Max Retina XDR Laptop,"17,999",24,12 Months,Manufacturer,626818,MUW63ABA,M3 Max 16-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,40-core GPU,"16""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Black,,,1 TB SSD,48 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3456 X 2234,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Ion Polymer (Li-Poly),,,,2.16 kg ( 4.76 lb ),Yes,,,
MSI Modern 14 Laptop,"1,629",24,12 Months,Agent,629419,9S714J1111071,Intel Core i5-1235U (12th Gen),,,FHD-LED 60 Hz IPS Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,Modern 14 C12MO,MSI Modern,2022,Silver,64 bit,2.0 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi (6E)/Bluetooth (5.2),HDMI/USB 2.0/USB 3.2/Audio Combo Port,,1920 X 1080 (FHD),HD Webcam,"2 X 2W Speakers, Hi-Res Audio Certified",,,Lithium Ion Polymer (Li-Poly) - 3 Cell,31.90 cm ( 12.56 in ),22.30 cm ( 8.78 in ),1.90 cm ( .75 in ),1.40 kg ( 3.09 lb ),Yes,,,
Renewed Grade A Apple MacBook Air 13 M2 Retina Laptop,"2,999",6,Not Applicable,JARIR,634755,MLY13ABARA,M2 8-core CPU 16-core Neural Engine,,,Retina Display,8-core GPU,"13.6""",macOS Monterey,Laptop,,Apple MacBook Air,2022,Starlight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,Renewed Grade A,589181
Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Pro 14 M4 Retina XDR Laptop,"7,499",24,12 Months,Manufacturer,646474,MW2U3ABA,M4 10-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Space Black,,,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,646476,MC9E4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Silver,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Air 13 M3 Laptop,"5,199",24,12 Months,Manufacturer,632649,MRXT3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,8-core GPU,"13.6""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Starlight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.13 cm ( .44 in ),1.24 kg ( 2.73 lb ),,,,
Apple MacBook Air 13 M2 Retina Laptop,"5,699",24,12 Months,Manufacturer,589227,MLY43ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"13.6""",macOS Monterey,Laptop,,Apple MacBook Air,2022,Midnight,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
HP Notebook Laptop,"2,999",24,12 Months,Manufacturer,641320,B00QQEAA2N,AMD Ryzen 7-7730U,,,FHD-LED Anti-glare Display,AMD Radeon Graphics,"15.6""",Windows 11 Home,Laptop,15-fc0004nx,HP Notebook,2024,Natural Silver,64 bit,2.0 GHz,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB-C,,1920 X 1080 (FHD),True Vision 1080p FHD Camera with Temporal Noise Reduction,Built-in Dual Speakers/Mic,,,Lithium Ion Polymer (Li-Poly) - 3 Cell,35.98 cm ( 14.17 in ),23.60 cm ( 9.29 in ),1.86 cm ( .73 in ),1.59 kg ( 3.51 lb ),,,,
Apple MacBook Pro 16 M3 Max Retina XDR Laptop,"17,999",24,12 Months,Manufacturer,626819,MUW73ABA,M3 Max 16-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,40-core GPU,"16""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Silver,,,1 TB SSD,48 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3456 X 2234,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Ion Polymer (Li-Poly),35.57 cm ( 14.00 in ),24.81 cm ( 9.77 in ),1.68 cm ( .66 in ),2.16 kg ( 4.76 lb ),Yes,,,
Apple MacBook Air 15 M2 Laptop,"5,999",24,12 Months,Manufacturer,619131,MQKQ3ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Ventura,Laptop,,Apple MacBook Air,2023,Space Grey,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Six-speaker Sound System,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Air 13 M3 Laptop,"5,199",24,12 Months,Manufacturer,646468,MC8J4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,8-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Starlight,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Lenovo IdeaPad Pro 5 Laptop,"5,029",24,12 Months,Manufacturer,631066,83D4004NAD,Intel Core Ultra 7 155H,,,2K OLED 400N Display,NVIDIA GeForce RTX 3050 (6 GB),"16""",Windows 11 Home,Laptop,16IMH9,Lenovo IdeaPad,2024,Arctic Grey,64 bit,4.8 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.2),HDMI 2.1 (4K@60Hz)/USB 3.2/USB-C (USB PD 3.0/Thuderbolt 4/DisplayPort 2.1),,2048 X 1280,FHD 1080p + IR with Privacy Shutter,"Dolby Atmos Sound System, (2 X 2W) Speakers","High Definition Audio, Realtek ALC3287 Codec, Low Blue Light",,Lithium Polymer (Li-Po),35.60 cm ( 14.02 in ),25.10 cm ( 9.88 in ),1.75 cm ( .69 in ),1.94 kg ( 4.28 lb ),Yes,,,
Huawei MateBook D 14 Laptop,"2,799",24,12 Months,Manufacturer,608551,NBDEWDH9,Intel Core i5-1155G7 (11th Gen),,,FHD-IPS Anti-glare,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,,Huawei MateBook,2022,Mystic Silver,64 bit,2.4 GHz,512 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (FHD),720P HD Recessed Camera,2 X 2W Speakers,"Low Blue Light, Flicker Free",Yes,Lithium Polymer (Li-Po) - 4 Cell,32.25 cm ( 12.70 in ),21.48 cm ( 8.46 in ),1.59 cm ( .63 in ),1.38 kg ( 3.04 lb ),,,,
Dell Vostro 3520 Laptop,"2,499",24,12 Months,Manufacturer,646301,VOSTROI5,Intel Core i5-1235U (12th Gen),,,FHD AG 250N WVA Display,Intel UHD Graphics,"15.6""",Windows 11 Home,Laptop,3520,Dell Vostro,2024,Carbon Black,64 bit,up to 4.4 GHz,512 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/RJ-45/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera,Built-in Dual Stereo Speakers,,Yes,Lithium Ion (Li-Ion) - 3 Cell,35.85 cm ( 14.11 in ),23.56 cm ( 9.28 in ),2.25 cm ( .89 in ),1.66 kg ( 3.66 lb ),Yes,,,
Apple MacBook Air 15 M2 Laptop,"5,799",24,12 Months,Manufacturer,619143,MQKW3ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Ventura,Laptop,,Apple MacBook Air,2023,Midnight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Six-speaker Sound System,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
